SOULFLEX INDUSTRIA E COMERCIO DE MOVEIS LTDA,,,,,,,,,Emissão: 03/09/2025 16:04:53,,
,,,,,,,,,,,
Relatório de Vendas por Período - Qtde,,,,Período:  03/07/2025  até  03/09/2025,,,,,,,Página 1 de 17
Produto,Descrição do Produto,,,,,,Qtde,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Pedido: 7448  Data Venda: 24/06/2025 Data fat:  10/07/25  Vendedor: EDSON Cliente: VULER COMERCIO DE COLCHOES LTDA ,,,,,,,,,,,
,,,,,,,,,,,
1021 ,BOX BAU GOLD 138x188 LINHO BEGE,,,,,1 ,,,,,
5764 ,BOX GOLD 158x198x23 LINHO BEGE,,,,,1 ,,,,,
7699 ,BOX BAU ELETRONICO 138X188 DEVA 04,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7450  Data Venda: 24/06/2025 Data fat:  03/07/25  Vendedor: EDSON Cliente: TRINDADE COLCHOES ,,,,,,,,,,,
,,,,,,,,,,,
4298 ,BOX GOLD ANTIDERRAPANTE 158x198x23 PP5,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7452  Data Venda: 24/06/2025 Data fat:  03/07/25  Vendedor: EDSON Cliente: RODRIGUES & CALACA LTDA ,,,,,,,,,,,
,,,,,,,,,,,
6204 ,BOX GRAN 108x198x28 PP3,,,,,1 ,,,,,
6412 ,BOX GRAN 158x198x28 COURO PRETO,,,,,3 ,,,,,
6415 ,BOX GRAN 158x198x28 COURO NATURAL,,,,,3 ,,,,,
6417 ,BOX GRAN 158x198x28 COURO CHOCOLATE,,,,,4 ,,,,,
,,,,,,,,,,,
Pedido: 7456  Data Venda: 24/06/2025 Data fat:  16/07/25  Vendedor: EDSON Cliente: EDILSON RESENDE FILHO ,,,,,,,,,,,
,,,,,,,,,,,
7046 ,BOX TATAME 158x198x23 LINHO AREIA,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7459  Data Venda: 25/06/2025 Data fat:  15/07/25  Vendedor: EDSON Cliente: LEMA REPRESENTAÇOES ,,,,,,,,,,,
,,,,,,,,,,,
7107 ,BOX DIAMANTE CABECEIRA LISTRAS 158X198X28 LINHO CINZA,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7463  Data Venda: 26/06/2025 Data fat:  03/07/25  Vendedor: EDSON Cliente: ESTACAO DO SONO CENTRO ,,,,,,,,,,,
,,,,,,,,,,,
5 ,BICAMA GRAN 088x188 PP5,,,,,2 ,,,,,
1105 ,BOX BAU GRAN 088x188 SP1,,,,,1 ,,,,,
6202 ,BOX GRAN 108x198 x28 PP1,,,,,1 ,,,,,
6206 ,BOX GRAN 108x198 x28 PP5,,,,,1 ,,,,,
,,,,,,,,,,,
Pedido: 7468  Data Venda: 26/06/2025 Data fat:  03/07/25  Vendedor: EDSON Cliente: COLCHOES E COMPLEMENTOS ,,,,,,,,,,,
,,,,,,,,,,,
1172 ,BOX BAU GRAN 158x198 PP1,,,,,1 ,,,,,
1173 ,BOX BAU GRAN 158x198 PP2,,,,,1 ,,,,,
,,,,,,,,,,,
